"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/04/2020","AQS","060370002","1","13.6","ug/m3 LC","54","Azusa","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/10/2020","AQS","060370002","1","5.8","ug/m3 LC","24","Azusa","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/16/2020","AQS","060370002","1","17.5","ug/m3 LC","62","Azusa","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/22/2020","AQS","060370002","1","10.3","ug/m3 LC","43","Azusa","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/28/2020","AQS","060370002","1","6","ug/m3 LC","25","Azusa","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/03/2020","AQS","060370002","1","2.7","ug/m3 LC","11","Azusa","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/09/2020","AQS","060370002","1","10.8","ug/m3 LC","45","Azusa","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/15/2020","AQS","060370002","1","13.5","ug/m3 LC","54","Azusa","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/21/2020","AQS","060370002","1","8.5","ug/m3 LC","35","Azusa","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/27/2020","AQS","060370002","1","3.1","ug/m3 LC","13","Azusa","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/04/2020","AQS","060370002","1","11.4","ug/m3 LC","48","Azusa","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/10/2020","AQS","060370002","1","2.3","ug/m3 LC","10","Azusa","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/16/2020","AQS","060370002","1","5.3","ug/m3 LC","22","Azusa","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/22/2020","AQS","060370002","1","2.6","ug/m3 LC","11","Azusa","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/28/2020","AQS","060370002","1","5.5","ug/m3 LC","23","Azusa","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/01/2020","AQS","060370002","21","8.2","ug/m3 LC","34","Azusa","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/07/2020","AQS","060370002","21","3.8","ug/m3 LC","16","Azusa","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/13/2020","AQS","060370002","21","11.9","ug/m3 LC","50","Azusa","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/19/2020","AQS","060370002","21","3.8","ug/m3 LC","16","Azusa","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/25/2020","AQS","060370002","21","22.4","ug/m3 LC","73","Azusa","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/31/2020","AQS","060370002","21","2.5","ug/m3 LC","10","Azusa","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/06/2020","AQS","060370002","21","8","ug/m3 LC","33","Azusa","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/12/2020","AQS","060370002","21","5.8","ug/m3 LC","24","Azusa","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/18/2020","AQS","060370002","21","19.8","ug/m3 LC","67","Azusa","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"02/24/2020","AQS","060370002","21","12.7","ug/m3 LC","52","Azusa","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/01/2020","AQS","060370002","21","7","ug/m3 LC","29","Azusa","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/07/2020","AQS","060370002","21","3.7","ug/m3 LC","15","Azusa","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/13/2020","AQS","060370002","21","2.7","ug/m3 LC","11","Azusa","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/19/2020","AQS","060370002","21","2.8","ug/m3 LC","12","Azusa","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/25/2020","AQS","060370002","21","2.9","ug/m3 LC","12","Azusa","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"03/31/2020","AQS","060370002","21","8.8","ug/m3 LC","37","Azusa","1","100.0000","88101","PM2.5 - Local Conditions","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.1365","-117.92391"
"01/01/2020","AirNow","060370016","3","9.7","ug/m3 LC","40","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/02/2020","AirNow","060370016","3","10.1","ug/m3 LC","42","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/03/2020","AirNow","060370016","3","6.6","ug/m3 LC","28","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/04/2020","AirNow","060370016","3","16.1","ug/m3 LC","59","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/05/2020","AirNow","060370016","3","12","ug/m3 LC","50","Glendora","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
