"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","360850055","1","2.2","ug/m3 LC","9","RICHMOND POST OFFICE","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","085","Richmond","40.63307","-74.13719"
"01/04/2020","AQS","360850055","1","9.6","ug/m3 LC","40","RICHMOND POST OFFICE","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","085","Richmond","40.63307","-74.13719"
"01/07/2020","AQS","360850055","1","22","ug/m3 LC","72","RICHMOND POST OFFICE","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","085","Richmond","40.63307","-74.13719"
"01/10/2020","AQS","360850055","1","6.4","ug/m3 LC","27","RICHMOND POST OFFICE","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","085","Richmond","40.63307","-74.13719"
"01/13/2020","AQS","360850055","1","9","ug/m3 LC","38","RICHMOND POST OFFICE","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","085","Richmond","40.63307","-74.13719"
"01/16/2020","AQS","360850055","1","7.2","ug/m3 LC","30","RICHMOND POST OFFICE","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","085","Richmond","40.63307","-74.13719"
"01/19/2020","AQS","360850055","1","4.9","ug/m3 LC","20","RICHMOND POST OFFICE","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","085","Richmond","40.63307","-74.13719"
"01/22/2020","AQS","360850055","1","10.6","ug/m3 LC","44","RICHMOND POST OFFICE","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","085","Richmond","40.63307","-74.13719"
"01/25/2020","AQS","360850055","1","7","ug/m3 LC","29","RICHMOND POST OFFICE","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","085","Richmond","40.63307","-74.13719"
"01/28/2020","AQS","360850055","1","1.9","ug/m3 LC","8","RICHMOND POST OFFICE","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","085","Richmond","40.63307","-74.13719"
"01/31/2020","AQS","360850055","1","9.7","ug/m3 LC","40","RICHMOND POST OFFICE","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","085","Richmond","40.63307","-74.13719"
"02/03/2020","AQS","360850055","1","10.2","ug/m3 LC","43","RICHMOND POST OFFICE","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","085","Richmond","40.63307","-74.13719"
"02/06/2020","AQS","360850055","1","6.2","ug/m3 LC","26","RICHMOND POST OFFICE","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","085","Richmond","40.63307","-74.13719"
"02/09/2020","AQS","360850055","1","10.5","ug/m3 LC","44","RICHMOND POST OFFICE","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","085","Richmond","40.63307","-74.13719"
"02/12/2020","AQS","360850055","1","7.6","ug/m3 LC","32","RICHMOND POST OFFICE","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","085","Richmond","40.63307","-74.13719"
"02/15/2020","AQS","360850055","1","5.9","ug/m3 LC","25","RICHMOND POST OFFICE","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","085","Richmond","40.63307","-74.13719"
"02/18/2020","AQS","360850055","1","12.8","ug/m3 LC","52","RICHMOND POST OFFICE","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","085","Richmond","40.63307","-74.13719"
"02/21/2020","AQS","360850055","1","4.3","ug/m3 LC","18","RICHMOND POST OFFICE","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","085","Richmond","40.63307","-74.13719"
"02/24/2020","AQS","360850055","1","18.1","ug/m3 LC","64","RICHMOND POST OFFICE","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","085","Richmond","40.63307","-74.13719"
"02/27/2020","AQS","360850055","1","1.8","ug/m3 LC","8","RICHMOND POST OFFICE","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","085","Richmond","40.63307","-74.13719"
"03/01/2020","AQS","360850055","1","4.5","ug/m3 LC","19","RICHMOND POST OFFICE","1","100.0000","88101","PM2.5 - Local Conditions","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","085","Richmond","40.63307","-74.13719"
