"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2020","24","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","2","24","0","6","19","12"
"01/02/2020","31","PM2.5","VON HILLERN ST","25-025-0044","AQS","3","24","0",".","31","29"
"01/03/2020","43","PM2.5","VON HILLERN ST","25-025-0044","AQS","6","15","1",".","43","31"
"01/04/2020","47","PM2.5","VON HILLERN ST","25-025-0044","AQS","7","20","1","9","47","32"
"01/05/2020","27","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","3","27","0",".","16","12"
"01/06/2020","41","NO2","VON HILLERN ST","25-025-0044","AQS","5","17","1",".","33","41"
"01/07/2020","40","NO2","VON HILLERN ST","25-025-0044","AQS","3","24","0","11","33","40"
"01/08/2020","39","PM2.5","VON HILLERN ST","25-025-0044","AQS","5","27","0",".","39","33"
"01/09/2020","38","NO2","VON HILLERN ST","25-025-0044","AQS","5","23","0",".","30","38"
"01/10/2020","40","PM2.5","VON HILLERN ST","25-025-0044","AQS","5","25","0","13","40","34"
"01/11/2020","36","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","3","36","0",".","27","15"
"01/12/2020","31","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","2","31","0",".","19","11"
"01/13/2020","32","PM2.5","VON HILLERN ST","25-025-0044","AQS","3","20","0","13","32","26"
"01/14/2020","41","PM2.5","VON HILLERN ST","25-025-0044","AQS","3","12","1",".","41","24"
"01/15/2020","39","PM2.5","VON HILLERN ST","25-025-0044","AQS","7","19","0",".","39","33"
"01/16/2020","31","NO2","VON HILLERN ST","25-025-0044","AQS","7","27","1","6","24","31"
"01/17/2020","33","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","2","33","0",".","28","21"
"01/18/2020","37","NO2","VON HILLERN ST","25-025-0044","AQS","3","26","0",".","30","37"
"01/19/2020","42","NO2","VON HILLERN ST","25-025-0044","AQS","6","28","0","8","41","42"
"01/20/2020","31","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","2","31","0",".","28","27"
"01/21/2020","46","NO2","VON HILLERN ST","25-025-0044","AQS","7","28","1",".","42","46"
"01/22/2020","56","PM2.5","VON HILLERN ST","25-025-0044","AQS","8","24","1","25","56","47"
"01/23/2020","60","PM2.5","VON HILLERN ST","25-025-0044","AQS","8","23","1",".","60","44"
"01/24/2020","60","PM2.5","VON HILLERN ST","25-025-0044","AQS","7","28","1",".","60","44"
"01/25/2020","32","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","3","32","0","11","23","20"
"01/26/2020","27","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","3","27","0",".","15","17"
"01/27/2020","21","NO2","VON HILLERN ST","25-025-0044","AQS","3","18","1",".","20","21"
"01/28/2020","31","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","3","31","0","5","16","20"
"01/29/2020","31","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","2","31","0",".","26","25"
"01/30/2020","38","NO2","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","5","22","0",".","35","38"
"01/31/2020","45","PM2.5","VON HILLERN ST","25-025-0044","AQS","5","31","1","12","45","39"
"02/01/2020","48","PM2.5","VON HILLERN ST","25-025-0044","AQS","6","21","0",".","48","36"
"02/02/2020","54","PM2.5","VON HILLERN ST","25-025-0044","AQS","5","22","0",".","54","32"
"02/03/2020","45","PM2.5","VON HILLERN ST","25-025-0044","AQS","6","21","0","13","45","35"
"02/04/2020","51","NO2","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","8","12","3",".","50","51"
"02/05/2020","38","NO2","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","9","24","1",".","36","38"
"02/06/2020","33","NO2","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","3","21","1","6","23","33"
"02/07/2020","35","NO2","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","5","29","1",".","16","35"
"02/08/2020","31","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","2","31","0",".","28","14"
"02/09/2020","36","PM2.5","VON HILLERN ST","25-025-0044","AQS","3","29","0","6","36","32"
"02/10/2020","39","PM2.5","VON HILLERN ST","25-025-0044","AQS","3","31","0",".","39","25"
"02/11/2020","46","PM2.5","VON HILLERN ST","25-025-0044","AQS","5","20","1",".","46","29"
"02/12/2020","38","PM2.5","VON HILLERN ST","25-025-0044","AQS","5","31","0","6","38","28"
"02/13/2020","45","NO2","VON HILLERN ST","25-025-0044","AQS","6","20","3",".","39","45"
"02/14/2020","31","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","5","31","0",".","27","23"
"02/15/2020","34","PM2.5","VON HILLERN ST","25-025-0044","AQS","3","31","0","5","34","24"
"02/16/2020","42","PM2.5","VON HILLERN ST","25-025-0044","AQS","5","29","0",".","42","32"
"02/17/2020","43","PM2.5","VON HILLERN ST","25-025-0044","AQS","6","33","0",".","43","32"
"02/18/2020","33","PM2.5","VON HILLERN ST","25-025-0044","AQS","3","28","0","7","33","30"
"02/19/2020","32","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","3","32","0",".","23","24"
"02/20/2020","33","NO2","VON HILLERN ST","25-025-0044","AQS","2","31","0",".","24","33"
"02/21/2020","36","NO2","VON HILLERN ST","25-025-0044","AQS","3","29","0","7","32","36"
"02/22/2020","46","PM2.5","VON HILLERN ST","25-025-0044","AQS","3","36","0",".","46","25"
"02/23/2020","51","PM2.5","VON HILLERN ST","25-025-0044","AQS","3","41","0",".","51","33"
"02/24/2020","53","PM2.5","VON HILLERN ST","25-025-0044","AQS","5","43","1","14","53","43"
"02/25/2020","48","PM2.5","VON HILLERN ST","25-025-0044","AQS","3","26","0",".","48","38"
"02/26/2020","47","PM2.5","VON HILLERN ST","25-025-0044","AQS","3","35","0",".","47","30"
"02/27/2020","35","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","2","35","0","3","16","25"
"02/28/2020","35","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","3","35","0",".","32","29"
"02/29/2020","37","NO2","VON HILLERN ST","25-025-0044","AQS","3","32","0",".","33","37"
"03/01/2020","40","NO2","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","3","31","0","5","33","40"
"03/02/2020","45","PM2.5","VON HILLERN ST","25-025-0044","AQS","7","41","1",".","45","41"
"03/03/2020","47","PM2.5","VON HILLERN ST","25-025-0044","AQS","3","39","0",".","47","30"
"03/04/2020","32","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","2","32","0","6","28","18"
"03/05/2020","42","NO2","VON HILLERN ST","25-025-0044","AQS","5","32","1",".","33","42"
"03/06/2020","48","PM2.5","VON HILLERN ST","25-025-0044","AQS","9","35","3",".","48","44"
"03/07/2020","38","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","2","38","0","6","21","22"
"03/08/2020","41","NO2","VON HILLERN ST","25-025-0044","AQS","3","37","0",".","33","41"
"03/09/2020","44","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","3","44","0",".","41","36"
"03/10/2020","50","PM2.5","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","3","36","1","19","50","42"
"03/11/2020","32","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","2","32","0",".","24","21"
"03/12/2020","33","PM2.5","VON HILLERN ST","25-025-0044","AQS","2","31","0",".","33","33"
"03/13/2020","33","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","2","33","0","9","27","29"
"03/14/2020","33","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","2","33","0",".","28","12"
"03/15/2020","42","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","2","42","0",".","25","15"
"03/16/2020","36","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","2","36","0","8","26","23"
"03/17/2020","33","NO2","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","3","28","0",".","30","33"
"03/18/2020","36","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","3","36","0",".","25","27"
"03/19/2020","31","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","2","31","0","7","28","20"
"03/20/2020","32","PM2.5","VON HILLERN ST","25-025-0044","AQS","3","29","0",".","32","25"
"03/21/2020","37","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","2","37","0",".","25","11"
"03/22/2020","38","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","2","38","0","6","31","16"
"03/23/2020","34","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","2","34","0",".","28","25"
"03/24/2020","35","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","2","35","0",".","17","21"
"03/25/2020","34","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","2","34","0","9","30","16"
"03/26/2020","38","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","2","38","0",".","34","24"
"03/27/2020","38","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","2","38","0",".","28","26"
"03/28/2020","39","NO2","VON HILLERN ST","25-025-0044","AQS","2","31","0","6","33","39"
"03/29/2020","36","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","2","36","0",".","26","7"
"03/30/2020","33","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","2","33","0",".","21","10"
"03/31/2020","36","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AQS","2","36","0","8","29","28"
"04/01/2020","31","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AirNow","2","31",".",".","25","."
"04/02/2020","28","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AirNow",".","28",".",".","13","."
"04/03/2020","32","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AirNow",".","32",".",".","10","."
"04/04/2020","31","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AirNow",".","31",".",".","15","."
"04/05/2020","30","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AirNow",".","30",".",".","21","."
"04/06/2020","36","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AirNow",".","36",".",".","7","."
"04/07/2020","39","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AirNow",".","39",".",".","24","."
"04/08/2020","30","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AirNow",".","30",".",".","29","."
"04/09/2020","33","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AirNow",".","33",".",".","21","."
"04/10/2020","31","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AirNow",".","31",".",".","11","."
"04/11/2020","33","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AirNow",".","33",".",".","17","."
"04/12/2020","44","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AirNow",".","44",".",".","33","."
"04/13/2020","26","PM2.5","VON HILLERN ST","25-025-0044","AirNow",".",".",".",".","26","."
"04/14/2020","39","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AirNow",".","39",".",".","22","."
"04/15/2020","41","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AirNow",".","41",".",".","25","."
"04/16/2020","37","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AirNow",".","37",".",".","29","."
"04/17/2020","43","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AirNow",".","43",".",".","27","."
"04/18/2020","39","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AirNow",".","39",".",".","25","."
"04/19/2020","51","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AirNow",".","51",".",".","38","."
"04/20/2020","35","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AirNow",".","35",".",".","22","."
"04/21/2020","43","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AirNow",".","43",".",".","27","."
"04/22/2020","40","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AirNow",".","40",".",".","23","."
"04/23/2020","45","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AirNow",".","45",".",".","29","."
"04/24/2020","46","PM2.5","VON HILLERN ST","25-025-0044","AirNow",".","38",".",".","46","."
"04/25/2020","45","PM2.5","VON HILLERN ST","25-025-0044","AirNow",".","44",".",".","45","."
"04/26/2020","39","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AirNow",".","39",".",".","34","."
"04/27/2020","37","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AirNow",".","37",".",".","16","."
"04/28/2020","38","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AirNow",".","38",".",".","25","."
"04/29/2020","34","Ozone","DUDLEY SQUARE ROXBURY","25-025-0042","AirNow",".","34",".",".","31","."
