"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","SO2","PM25"
"01/01/2019","62","PM2.5","Pahala","15-001-2016","AQS","6","62"
"01/02/2019","25","PM2.5","Pahala","15-001-2016","AQS","4","25"
"01/03/2019","30","PM2.5","Pahala","15-001-2016","AQS","4","30"
"01/04/2019","27","PM2.5","Pahala","15-001-2016","AQS","4","27"
"01/05/2019","31","PM2.5","Pahala","15-001-2016","AQS","7","31"
"01/06/2019","32","PM2.5","Pahala","15-001-2016","AQS","10","32"
"01/07/2019","33","PM2.5","Pahala","15-001-2016","AQS","6","33"
"01/08/2019","26","PM2.5","Pahala","15-001-2016","AQS","4","26"
"01/09/2019","22","PM2.5","Pahala","15-001-2016","AQS","6","22"
"01/10/2019","23","PM2.5","Pahala","15-001-2016","AQS","13","23"
"01/11/2019","24","PM2.5","Pahala","15-001-2016","AQS","17","24"
"01/12/2019","30","PM2.5","Pahala","15-001-2016","AQS","14","30"
"01/13/2019","32","PM2.5","Pahala","15-001-2016","AQS","10","32"
"01/14/2019","33","PM2.5","Pahala","15-001-2016","AQS","13","33"
"01/15/2019","44","PM2.5","Mountain View 23","15-001-2023","AQS","40","44"
"01/16/2019","31","PM2.5","Mountain View 23","15-001-2023","AQS","30","31"
"01/17/2019","25","PM2.5","Mountain View 23","15-001-2023","AQS","19","25"
"01/18/2019","28","PM2.5","Mountain View 23","15-001-2023","AQS","23","28"
"01/19/2019","21","PM2.5","HOVE","15-001-2020","AQS","4","21"
"01/20/2019","23","PM2.5","Mountain View 23","15-001-2023","AQS","11","23"
"01/21/2019","28","PM2.5","Mountain View 23","15-001-2023","AQS","17","28"
"01/22/2019","23","PM2.5","HOVE","15-001-2020","AQS","9","23"
"01/23/2019","25","PM2.5","HOVE","15-001-2020","AQS","6","25"
"01/24/2019","23","PM2.5","HOVE","15-001-2020","AQS","10","23"
"01/25/2019","50","SO2","Hawaii Volcanoes NP - Kilauea Visitors Center","15-001-0005","AQS","50","17"
"01/26/2019","20","PM2.5","HOVE","15-001-2020","AQS","7","20"
"01/27/2019","20","PM2.5","HOVE","15-001-2020","AQS","4","20"
"01/28/2019","25","PM2.5","Mountain View 23","15-001-2023","AQS","6","25"
"01/29/2019","23","PM2.5","HOVE","15-001-2020","AQS","17","23"
"01/30/2019","13","PM2.5","Kona","15-001-1012","AQS","11","13"
"01/31/2019","56","SO2","Hawaii Volcanoes NP - Kilauea Visitors Center","15-001-0005","AQS","56","11"
"02/01/2019","20","PM2.5","Mountain View 23","15-001-2023","AQS","6","20"
"02/02/2019","30","PM2.5","Mountain View 23","15-001-2023","AQS","4","30"
"02/03/2019","31","PM2.5","Mountain View 23","15-001-2023","AQS","4","31"
"02/04/2019","45","PM2.5","Mountain View 23","15-001-2023","AQS","6","45"
"02/05/2019","51","PM2.5","Mountain View 23","15-001-2023","AQS","19","51"
"02/06/2019","53","PM2.5","Mountain View 23","15-001-2023","AQS","23","53"
"02/07/2019","24","SO2","Hawaii Volcanoes NP - Kilauea Visitors Center","15-001-0005","AQS","24","24"
"02/08/2019","20","PM2.5","HOVE","15-001-2020","AQS","19","20"
"02/09/2019","23","PM2.5","HOVE","15-001-2020","AQS","6","23"
"02/10/2019","24","PM2.5","Kona","15-001-1012","AQS","6","24"
"02/11/2019","23","SO2","Hawaii Volcanoes NP - Kilauea Visitors Center","15-001-0005","AQS","23","18"
"02/12/2019","15","PM2.5","HOVE","15-001-2020","AQS","10","15"
"02/13/2019","10","PM2.5","Hilo","15-001-1006","AQS","7","10"
"02/14/2019","14","PM2.5","HOVE","15-001-2020","AQS","4","14"
"02/15/2019","20","SO2","Hawaii Volcanoes NP - Kilauea Visitors Center","15-001-0005","AQS","20","15"
"02/16/2019","23","SO2","Hawaii Volcanoes NP - Kilauea Visitors Center","15-001-0005","AQS","23","15"
"02/17/2019","24","SO2","Hawaii Volcanoes NP - Kilauea Visitors Center","15-001-0005","AQS","24","19"
"02/18/2019","43","SO2","Hawaii Volcanoes NP - Kilauea Visitors Center","15-001-0005","AQS","43","12"
"02/19/2019","8","PM2.5","Kona","15-001-1012","AQS","7","8"
"02/20/2019","13","PM2.5","Hilo","15-001-1006","AQS","7","13"
