"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2019","38","PM2.5","Near Road I-35/I-94","27-053-0962","AirNow","6",".","1","10","38","27"
"01/02/2019","29","PM2.5","Near Road I-35/I-94","27-053-0962","AirNow","5",".","3","22","29","16"
"01/03/2019","29","PM2.5","Near Road I-35/I-94","27-053-0962","AirNow","6",".","3","12","29","26"
"01/04/2019","33","PM2.5","Near Road I-35/I-94","27-053-0962","AirNow","7",".",".","13","33","30"
"01/05/2019","34","PM2.5","Near Road I-35/I-94","27-053-0962","AirNow","7",".",".","12","34","25"
"01/06/2019","29","PM2.5","Near Road I-35/I-94","27-053-0962","AirNow","6",".",".","10","29","24"
"01/07/2019","52","PM2.5","Near Road I-35/I-94","27-053-0962","AirNow","7",".",".","16","52","20"
"01/08/2019","29","PM2.5","Near Road I-35/I-94","27-053-0962","AirNow","6",".","1","16","29","18"
"01/09/2019","32","PM2.5","Near Road I-35/I-94","27-053-0962","AirNow","7",".","3","14","32","24"
"01/10/2019","30","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","6",".","3","26","30","23"
"01/11/2019","55","PM2.5","Andersen School","27-053-0963","AQS","8",".","6","39","55","21"
"01/12/2019","72","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","8",".","3","25","72","20"
"01/13/2019","54","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","7",".","1","16","54","13"
"01/14/2019","42","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","7",".","3","11","42","21"
"01/15/2019","36","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","6",".","1","11","36","16"
"01/16/2019","32","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","8",".","3","23","32","29"
"01/17/2019","55","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","8",".","3","24","55","31"
"01/18/2019","33","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","7",".","3","20","33","22"
"01/19/2019","40","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","6",".","1","11","40","16"
"01/20/2019","40","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","7",".","3","15","40","33"
"01/21/2019","36","PM10","Lowry Avenue","27-053-0909","AQS","7",".","4","36","32","33"
"01/22/2019","54","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","8",".","3","19","54","33"
"01/23/2019","61","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","7",".","3","20","61","26"
"01/24/2019","45","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","6",".","3","19","45","21"
"01/25/2019","52","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","8",".","3","48","52","37"
"01/26/2019","60","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","8",".","3","22","60","38"
"01/27/2019","38","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","6",".","4","17","38","24"
"01/28/2019","30","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","6",".","3","12","30","20"
"01/29/2019","39","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","6",".","3","15","39","24"
"01/30/2019","44","PM2.5","St. Louis Park City Hall","27-053-2006","AQS","6",".","3",".","44","17"
"01/31/2019","49","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","8",".","10",".","49","35"
"02/01/2019","61","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","7",".","4","20","61","23"
"02/02/2019","77","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","11",".","7","27","77","38"
"02/03/2019","59","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","10",".","3","16","59","14"
"02/04/2019","34","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","8",".","1","8","34","17"
"02/05/2019","33","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","8",".","3","15","33","28"
"02/06/2019","36","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","8",".","3","14","36","28"
"02/07/2019","32","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","7",".","3","7","32","25"
"02/08/2019","27","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","7",".","3","6","27","21"
"02/09/2019","54","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","8",".","3","15","54","35"
"02/10/2019","59","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","8",".","1","17","59","27"
"02/11/2019","54","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","8",".","3","14","54","28"
"02/12/2019","32","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","8",".","3","10","32","25"
"02/13/2019","53","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","8",".","4","14","53","21"
"02/14/2019","59","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","8","26","4","16","59","44"
"02/15/2019","43","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","7","22","3","14","43","33"
"02/16/2019","55","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","8","26","3","19","55","42"
"02/17/2019","34","Ozone","Near Road I-35/I-94","27-053-0962","AirNow","8","34","3","10","32","21"
"02/18/2019","52","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","6","24","3","19","52","38"
"02/19/2019","66","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","8","28","3","31","66","42"
"02/20/2019","59","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","8","39","4","19","59","27"
"02/21/2019","67","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","6","34","1","21","67","25"
"02/22/2019","77","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","9","38","3","29","77","44"
"02/23/2019","74","PM2.5","St. Louis Park City Hall","27-053-2006","AQS","8","40","3","24","74","22"
"02/24/2019","52","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","7","43",".","15","52","11"
"02/25/2019","48","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","8","21","3","13","48","25"
"02/26/2019","40","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","8","22","3","12","40","30"
"02/27/2019","48","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","6","28","3","14","48","29"
"02/28/2019","53","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","7","35","3","19","53","42"
"03/01/2019","71","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","11","23","4","27","71","51"
"03/02/2019","52","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","11","26","3","15","52","28"
"03/03/2019","49","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","7","29","3","12","49","17"
"03/04/2019","47","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","6","35","3","18","47","23"
"03/05/2019","47","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","6","30","3","13","47","26"
"03/06/2019","57","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","7","31","4","19","57","31"
"03/07/2019","51","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","8","34","6","19","51","45"
"03/08/2019","66","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","8","43","7","29","66","23"
"03/09/2019","76","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","8","38","3","26","76","23"
"03/10/2019","53","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","8","44","1","15","53","20"
"03/11/2019","63","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","7","43","3","21","63","45"
"03/12/2019","64","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","8","33","3","20","64","33"
"03/13/2019","45","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","9","23","3","12","45","28"
"03/14/2019","40","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","10","31",".","16","40","35"
"03/15/2019","32","Ozone","Near Road I-35/I-94","27-053-0962","AQS","6","32","1","13","23","18"
"03/16/2019","35","Ozone","Near Road I-35/I-94","27-053-0962","AQS","7","35","3","11","33","21"
"03/17/2019","59","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","8","41","3","19","59","26"
"03/18/2019","56","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","8","41",".","30","56","33"
"03/19/2019","46","PM2.5","Andersen School","27-053-0963","AQS","7","37",".","36","46","41"
"03/20/2019","43","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","8","35","3","31","43","22"
"03/21/2019","43","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","8","38","3","32","43","36"
"03/22/2019","48","PM10","Pacific Street","27-053-0910","AQS","9","31","3","48","41","43"
"03/23/2019","70","PM10","Pacific Street","27-053-0910","AQS","14","46","4","70","55","45"
"03/24/2019","52","PM2.5","Near Road I-35/I-94","27-053-0962","AQS","11","35","3","40","52","40"
"03/25/2019","51","PM10","Pacific Street","27-053-0910","AQS","8","26","1","51","37","42"
"03/26/2019","71","PM10","Pacific Street","27-053-0910","AQS","14","42","7","71","45","48"
"03/27/2019","62","PM10","Pacific Street","27-053-0910","AQS","6","40","1","62","41","12"
"03/28/2019","31","PM2.5","Near Road I-35/I-94","27-053-0962","AirNow","7","26","6","28","31","25"
"03/29/2019","51","PM10","Pacific Street","27-053-0910","AQS","7","31","1","51","21","28"
"03/30/2019","36","Ozone","Near Road I-35/I-94","27-053-0962","AQS","7","36","1","32","18","10"
"03/31/2019","35","Ozone","Near Road I-35/I-94","27-053-0962","AQS","6","35","1","13","20","15"
"04/01/2019","41","PM10","Pacific Street","27-053-0910","AQS","7","29","3","41","35","."
"04/02/2019","40","PM10","Pacific Street","27-053-0910","AQS","6","32","1","40","26","."
"04/03/2019","52","PM10","Pacific Street","27-053-0910","AQS","6","31","3","52","31","."
"04/04/2019","33","Ozone","Near Road I-35/I-94","27-053-0962","AQS","6","33","1","24","15","."
"04/05/2019","69","PM2.5","Andersen School","27-053-0963","AQS","7","19","3","40","69","."
"04/06/2019","68","PM2.5","St. Louis Park City Hall","27-053-2006","AQS","7","19","3","21","68","."
"04/07/2019","39","PM2.5","Andersen School","27-053-0963","AQS","6","23","6","19","39","."
"04/08/2019","44","PM10","Pacific Street","27-053-0910","AQS","6","32","4","44","18","."
"04/09/2019","64","PM10","Pacific Street","27-053-0910","AQS","5","26","4","64","17","."
"04/10/2019","36","Ozone","Near Road I-35/I-94","27-053-0962","AQS","3","36","0","11","9","."
"04/11/2019","37","Ozone","Near Road I-35/I-94","27-053-0962","AQS","3","37","0","7","6","."
"04/12/2019","32","Ozone","Near Road I-35/I-94","27-053-0962","AQS","3","32","1","7","14","."
"04/13/2019","33","Ozone","Near Road I-35/I-94","27-053-0962","AQS","7","33","1","12","18","."
"04/14/2019","38","Ozone","Near Road I-35/I-94","27-053-0962","AQS","8","38","0","28","25","."
"04/15/2019","43","PM10","Pacific Street","27-053-0910","AQS","7","40","1","43","25","."
