"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM25"
"01/01/2020","49","PM2.5","Andersen School","27-053-0963","AirNow","7",".","3","49"
"01/02/2020","35","PM2.5","Andersen School","27-053-0963","AirNow","8",".","1","35"
"01/03/2020","46","PM2.5","Andersen School","27-053-0963","AirNow","9",".","1","46"
"01/04/2020","43","PM2.5","Andersen School","27-053-0963","AirNow","8",".","1","43"
"01/05/2020","34","PM2.5","Andersen School","27-053-0963","AirNow","7",".","1","34"
"01/06/2020","25","PM2.5","Andersen School","27-053-0963","AirNow","7",".","1","25"
"01/07/2020","26","PM2.5","Andersen School","27-053-0963","AirNow","7",".","1","26"
"01/08/2020","31","PM2.5","Andersen School","27-053-0963","AirNow","6",".","1","31"
"01/09/2020","53","PM2.5","Andersen School","27-053-0963","AirNow","6",".","3","53"
"01/10/2020","45","PM2.5","Andersen School","27-053-0963","AirNow","5",".","1","45"
"01/11/2020","31","PM2.5","Andersen School","27-053-0963","AirNow","5",".","1","31"
"01/12/2020","33","PM2.5","Andersen School","27-053-0963","AirNow","5",".","1","33"
"01/13/2020","54","PM2.5","Andersen School","27-053-0963","AirNow","6",".","1","54"
"01/14/2020","52","PM2.5","Andersen School","27-053-0963","AirNow","5",".","1","52"
"01/15/2020","60","PM2.5","Near Road I-35/I-94","27-053-0962","AirNow","6",".","1","60"
"01/16/2020","56","PM2.5","Near Road I-35/I-94","27-053-0962","AirNow","6",".","3","56"
"01/17/2020","53","PM2.5","Andersen School","27-053-0963","AirNow","6",".","3","53"
"01/18/2020","43","PM2.5","Andersen School","27-053-0963","AirNow","6",".","3","43"
"01/19/2020","40","PM2.5","Andersen School","27-053-0963","AirNow","5",".","1","40"
"01/20/2020","54","PM2.5","Andersen School","27-053-0963","AirNow","6",".","1","54"
"01/21/2020","59","PM2.5","Andersen School","27-053-0963","AirNow","5",".","1","59"
"01/22/2020","49","PM2.5","Near Road I-35/I-94","27-053-0962","AirNow","6",".","1","49"
"01/23/2020","68","PM2.5","Near Road I-35/I-94","27-053-0962","AirNow","6",".","1","68"
"01/24/2020","32","PM2.5","Near Road I-35/I-94","27-053-0962","AirNow","7",".",".","32"
"01/25/2020","33","PM2.5","Near Road I-35/I-94","27-053-0962","AirNow","6",".",".","33"
"01/26/2020","52","PM2.5","Andersen School","27-053-0963","AirNow","6",".",".","52"
"01/27/2020","40","PM2.5","Near Road I-35/I-94","27-053-0962","AirNow","6",".",".","40"
"01/28/2020","40","PM2.5","Near Road I-35/I-94","27-053-0962","AirNow","6",".","1","40"
"01/29/2020","67","PM2.5","Andersen School","27-053-0963","AirNow","6",".","1","67"
"01/30/2020","67","PM2.5","Near Road I-35/I-94","27-053-0962","AirNow","6",".","1","67"
