"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25"
"01/01/2020","36","PM2.5","Intermediate School 143","36-061-0115","AQS","2","21",".","36"
"01/02/2020","56","PM2.5","Intermediate School 143","36-061-0115","AQS","13","12",".","56"
"01/03/2020","62","PM2.5","Intermediate School 143","36-061-0115","AQS","13","1",".","62"
"01/04/2020","55","PM2.5","CCNY","36-061-0135","AQS","8","24","13","55"
"01/05/2020","37","PM2.5","CCNY","36-061-0135","AQS","3","27",".","37"
"01/06/2020","47","PM2.5","Intermediate School 143","36-061-0115","AQS","3","15",".","47"
"01/07/2020","43","PM2.5","DIVISION STREET","36-061-0134","AQS","6","12",".","43"
"01/08/2020","47","PM2.5","Intermediate School 143","36-061-0115","AQS","3","28",".","47"
"01/09/2020","43","PM2.5","Intermediate School 143","36-061-0115","AQS","3","22",".","43"
"01/10/2020","50","PM2.5","Intermediate School 143","36-061-0115","AQS","5","11","17","50"
"01/11/2020","49","PM2.5","CCNY","36-061-0135","AQS","5","28",".","49"
"01/12/2020","40","PM2.5","Intermediate School 143","36-061-0115","AQS","3","28",".","40"
"01/13/2020","49","PM2.5","DIVISION STREET","36-061-0134","AQS","5","13",".","49"
"01/14/2020","53","PM2.5","DIVISION STREET","36-061-0134","AQS","6","4",".","53"
"01/15/2020","55","PM2.5","Intermediate School 143","36-061-0115","AQS","6","20",".","55"
"01/16/2020","43","PM2.5","Intermediate School 143","36-061-0115","AQS","5","26","12","43"
"01/17/2020","37","PM2.5","Intermediate School 143","36-061-0115","AQS","2","30",".","37"
"01/18/2020","26","PM2.5","DIVISION STREET","36-061-0134","AQS","5","23",".","26"
"01/19/2020","40","PM2.5","Intermediate School 143","36-061-0115","AQS","3","29",".","40"
"01/20/2020","30","PM2.5","Intermediate School 143","36-061-0115","AQS","2","30",".","30"
"01/21/2020","35","PM2.5","Intermediate School 143","36-061-0115","AQS","2","26",".","35"
"01/22/2020","49","PM2.5","DIVISION STREET","36-061-0134","AQS","9","12","22","49"
"01/23/2020","67","PM2.5","Intermediate School 143","36-061-0115","AQS","16","6",".","67"
"01/24/2020","66","PM2.5","DIVISION STREET","36-061-0134","AQS","13","19",".","66"
"01/25/2020","30","PM2.5","DIVISION STREET","36-061-0134","AQS","6","26",".","30"
"01/26/2020","29","PM2.5","Intermediate School 143","36-061-0115","AQS","7","17",".","29"
"01/27/2020","35","PM2.5","Intermediate School 143","36-061-0115","AQS","9","19",".","35"
"01/28/2020","30","PM2.5","Intermediate School 143","36-061-0115","AQS","2","29","5","30"
"01/29/2020","29","Ozone","CCNY","36-061-0135","AQS","2","29",".","28"
"01/30/2020","37","PM2.5","Intermediate School 143","36-061-0115","AQS","5","22",".","37"
"01/31/2020","54","PM2.5","Intermediate School 143","36-061-0115","AQS","7","6",".","54"
"02/01/2020","50","PM2.5","DIVISION STREET","36-061-0134","AQS","6","8",".","50"
"02/02/2020","44","PM2.5","Intermediate School 143","36-061-0115","AQS","8","20",".","44"
"02/03/2020","52","PM2.5","Intermediate School 143","36-061-0115","AQS","9","21","19","52"
"02/04/2020","61","PM2.5","Intermediate School 143","36-061-0115","AQS","17","18",".","61"
"02/05/2020","23","PM2.5","CCNY","36-061-0135","AQS","11","22",".","23"
"02/06/2020","32","PM2.5","DIVISION STREET","36-061-0134","AQS","5","16",".","32"
"02/07/2020","30","PM2.5","Intermediate School 143","36-061-0115","AQS","5","29",".","30"
"02/08/2020","47","PM2.5","Intermediate School 143","36-061-0115","AQS","6","29",".","47"
"02/09/2020","46","PM2.5","Intermediate School 143","36-061-0115","AQS","7","25","13","46"
"02/10/2020","39","PM2.5","Intermediate School 143","36-061-0115","AQS","10","24",".","39"
"02/11/2020","36","PM2.5","Intermediate School 143","36-061-0115","AQS","10","25",".","36"
"02/12/2020","40","PM2.5","DIVISION STREET","36-061-0134","AQS","5","26",".","40"
"02/13/2020","34","PM2.5","Intermediate School 143","36-061-0115","AQS","6","23",".","34"
"02/14/2020","34","PM2.5","Intermediate School 143","36-061-0115","AQS","3","29",".","34"
"02/15/2020","52","PM2.5","DIVISION STREET","36-061-0134","AQS","5","19","10","52"
"02/16/2020","45","PM2.5","Intermediate School 143","36-061-0115","AQS","8","16",".","45"
"02/17/2020","43","PM2.5","Intermediate School 143","36-061-0115","AQS","7","31",".","43"
