"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"01/01/2019","52","PM2.5","Globeville","08-031-0028","AQS","7","19","11",".","52","37"
"01/02/2019","65","PM2.5","Globeville","08-031-0028","AQS","16","21","4",".","65","58"
"01/03/2019","57","NO2","DENVER - CAMP","08-031-0002","AQS","17","24","9","40","52","57"
"01/04/2019","58","NO2","DENVER - CAMP","08-031-0002","AQS","17","22","9",".","50","58"
"01/05/2019","56","PM2.5","DENVER - CAMP","08-031-0002","AQS","19","14","6",".","56","52"
"01/06/2019","51","PM2.5","Globeville","08-031-0028","AQS","15","33","4","24","51","44"
"01/07/2019","76","NO2","I-25","08-031-0027","AQS","13","37","7",".","29","76"
"01/08/2019","46","NO2","I-25","08-031-0027","AQS","10","20","4",".","40","46"
"01/09/2019","64","PM2.5","Globeville","08-031-0028","AQS","14","7","6","60","64","56"
"01/10/2019","68","PM2.5","Globeville","08-031-0028","AQS","14","12","6",".","68","46"
"01/11/2019","48","PM2.5","Globeville","08-031-0028","AQS","11","21","1",".","48","37"
"01/12/2019","51","PM2.5","Globeville","08-031-0028","AQS","10","23","0","12","51","41"
"01/13/2019","48","PM2.5","Globeville","08-031-0028","AQS","9","27","1",".","48","46"
"01/14/2019","51","NO2","Globeville","08-031-0028","AQS","9","27","1",".","42","51"
"01/15/2019","62","NO2","Globeville","08-031-0028","AQS","13","27","4","33","44","62"
"01/16/2019","51","NO2","I-25","08-031-0027","AQS","13","31","3",".","35","51"
"01/17/2019","52","PM2.5","Globeville","08-031-0028","AQS","15","22","4",".","52","52"
"01/18/2019","55","PM2.5","Globeville","08-031-0028","AQS","16","18","4","24","55","51"
"01/19/2019","47","NO2","DENVER - CAMP","08-031-0002","AQS","9","27","3",".","46","47"
"01/20/2019","42","NO2","DENVER - CAMP","08-031-0002","AQS","10","23","3",".","35","42"
"01/21/2019","70","NO2","I-25","08-031-0027","AQS","15","29","10","42","59","70"
"01/22/2019","42","NO2","Globeville","08-031-0028","AQS","6","31","0",".","18","42"
"01/23/2019","63","NO2","Globeville","08-031-0028","AQS","7","35","6",".","35","63"
"01/24/2019","41","NO2","DENVER - CAMP","08-031-0002","AQS","7","24","0","10","26","41"
"01/25/2019","58","NO2","DENVER - CAMP","08-031-0002","AQS","11","24","4",".","54","58"
"01/26/2019","49","NO2","Globeville","08-031-0028","AQS","11","37","1",".","32","49"
"01/27/2019","47","NO2","Globeville","08-031-0028","AQS","6","34","1","15","17","47"
"01/28/2019","40","NO2","I-25","08-031-0027","AQS","6","29","0",".","20","40"
"01/29/2019","66","NO2","Globeville","08-031-0028","AQS","13","23","4",".","56","66"
"01/30/2019","71","PM2.5","Globeville","08-031-0028","AQS","13","30","6","23","71","61"
"01/31/2019","58","NO2","Globeville","08-031-0028","AQS","14","23","4",".","55","58"
"02/01/2019","57","NO2","Globeville","08-031-0028","AQS","14","31","3",".","51","57"
"02/02/2019","50","NO2","I-25","08-031-0027","AQS","11","33","3","23","35","50"
"02/03/2019","44","NO2","Globeville","08-031-0028","AQS","11","35","1",".","20","44"
"02/04/2019","51","NO2","I-25","08-031-0027","AQS","8","26","1",".","48","51"
